
World Rank                   ,  Institution                   ,  Country                    
342  ,   State University of New York at Buffalo   , USA    
343  ,   Lincoln University   , New Zealand    
343  ,   University of Hawaii at Manoa   , USA    
345  ,   Brunel University   , UK    
345  ,   L.N. Gumilyov Eurasian National University   , Kazakhstan    
347  ,   University of Cologne   , Germany    
347  ,   University of Ulm   , Germany    
347  ,   University of Tartu   , Estonia    
350  ,   Moscow Institute of Physics and Technology   , Russia    
350  ,   Moscow State Institute of International Relations   , Russia    
352  ,   University of Belgrano   , Argentina    
352  ,   University of Konstanz   , Germany    
354  ,   Belarusian State University   , Belarus    
355  ,   Deakin University   , Australia    
356  ,   Lappeenranta University of Technology   , Finland    
356  ,   University Paris-Dauphine (Paris IX)   , France    
358  ,   Aston University   , UK    
359  ,   Oxford Brookes University   , UK    
359  ,   University of Witwatersrand   , South Africa    
361  ,   Northeastern University   , USA    
361  ,   Virginia Polytechnic Institute and State University   , USA    
363  ,   University of Jena   , Germany    
363  ,   George Washington University   , USA    
365  ,   American University in Cairo   , Egypt    
366  ,   University of Warsaw   , Poland    
366  ,   New University of Lisbon   , Portugal    
366  ,   University of Kent at Canterbury   , UK    
369  ,   Kobe University   , Japan    
370  ,   University of Tasmania   , Australia    
370  ,   University of Milan   , Italy    
372  ,   Laval University   , Canada    
373  ,   University of Kansas   , USA    
374  ,   Aalborg University   , Denmark    
374  ,   University of the Philippines Manila   , Philippines    
374  ,   University of Colorado at Denver   , USA    
377  ,   University Ren� Descartes (Paris V)   , France    
377  ,   Tomsk State University   , Russia    
377  ,   Uit the Arctic University of Norway   , Norway    
380  ,   Dublin City University   , Ireland    
380  ,   University of Texas at Dallas   , USA    
382  ,   University of Eastern Finland   , Finland    
382  ,   V.N. Karazin Kharkiv National University   , Ukraine    
384  ,   American University   , USA    
385  ,   University of Stirling   , UK    
386  ,   La Trobe University   , Australia    
386  ,   Chung-Ang University   , South Korea    
386  ,   Colorado State University   , USA    
389  ,   Beijing Institute of Technology   , China    
390  ,   University of Southern Denmark   , Denmark    
390  ,   Swansea University   , UK    
390  ,   State University of New York at Stony Brook   , USA    
393  ,   University of Qatar   , Qatar    
393  ,   University of Iowa   , USA    
395  ,   National Technical University of Athens   , Greece    
395  ,   National Sun Yat-Sen University   , Taiwan    
395  ,   University of Stellenbosch   , South Africa    
395  ,   Washington State University   , USA    
399  ,   Indian Institute of Technology - Roorkee   , India    
400  ,   University of Hannover   , Germany    
400  ,   Tomsk Polytechnic University   , Russia    
401-410  ,   University Externado de Colombia   , Colombia    
401-410  ,   University of Mainz   , Germany    
401-410  ,   Institute of Technology Bandung   , Indonesia    
401-410  ,   Taipei Medical University   , Taiwan    
401-410  ,   Illinois Institute of Technology   , USA    
401-410  ,   Brandeis University   , USA    
401-410  ,   Wake Forest University   , USA    
401-410  ,   National Research Nuclear University   , Russia    
401-410  ,   Khalifa University   , United Arab Emirates    
411-420  ,   United Arab Emirates University   , United Arab Emirates    
411-420  ,   University of Mannheim   , Germany    
411-420  ,   University of Oulu   , Finland    
411-420  ,   Sogang University   , South Korea    
411-420  ,   Higher School of Economics   , Russia    
411-420  ,   Bilkent University   , Turkey    
411-420  ,   National Central University   , Taiwan    
411-420  ,   Bangor University   , UK    
411-420  ,   University of Delaware   , USA    
411-420  ,   University of Utah   , USA    
411-420  ,   Aix-Marseille University   , France    
411-420  ,   St Petersburg State Politecnical University   , Russia    
411-420  ,   Satbayev Kazakh National Technical University   , Kazakhstan    
421-430  ,   Renmin University of China   , China    
421-430  ,   University of W�rzburg   , Germany    
421-430  ,   University of Kiel   , Germany    
421-430  ,   Institut National des Sciences Appliqu�es de Lyon   , France    
